researcherID,num_pubs,num_rlvs,std,avg,avg-std,NDCG_mr,NDCG_equal,NDCG_weighted,MAX NDCG,MRR_mr,MRR_equal,MRR_weighted,MRR_MAX,P_mr,P_equal,P_weighted,,,,,
R01,4,127,0.291,0.306,0.015,0.986043332,1,0.975265244,1,1,1,1,1,0.8,0.1,0.8,,,metric values of different user profile model,numbers of user,
R02,12,88,0.146,0.735,0.589,0,0.761174032,0,0.761174032,0,1,0,1,0,0.4,0,,,,,
R03,7,60,0.135,0.69,0.555,0,0,0,0,0,0,0,0,0,0,0,,,,,
R04,5,26,0.108,0.604,0.496,0,0,0,0,0,0,0,0,0,0,0,,,,,
R05,2,48,0,0.787,0.787,0.732771144,0.913401592,0.73282862,0.913401592,0.5,1,0.5,1,0.4,0.3,0.3,,,"X,X,X",18,
R06,7,50,0.114,0.719,0.605,0.680718234,0.520437044,0.612535335,0.680718234,0.333333333,0.2,0.333333333,0.333333333,0.5,0.4,0.5,,,"0,0,0",11,all values of evaluation metrics are zero!
R07,16,113,0.088,0.693,0.605,0.57977484,0.5,0.588330017,0.588330017,0.5,0.333333333,0.25,0.5,0.3,0.2,0.4,,,"0,X,0",5,all publications with equal weight make sense
R08,7,48,0.226,0.562,0.336,0.732771144,0,1,1,0.5,0,1,1,0.4,0,0.1,,,,,
R09,13,38,0.115,0.689,0.574,0,0,0,0,0,0,0,0,0,0,0,,,,,
R10,5,53,0.073,0.69,0.617,0,0.570641719,0,0.570641719,0,0.333333333,0,0.333333333,0,0.2,0,,,,,
R11,12,63,0.075,0.788,0.713,0,1,0,1,0,1,0,1,0,0.2,0,,,,,
R12,14,85,0.108,0.639,0.531,0,0,0,0,0,0,0,0,0,0,0,,,,,
R13,9,29,0.116,0.68,0.564,0.386852807,0,0,0.386852807,0.2,0,0,0.2,0.1,0,0,,,,,
R14,14,23,0.271,0.654,0.383,0,0,0,0,0,0,0,0,0,0,0,,,,,
R15,5,54,0.07,0.798,0.728,0.5,0,0.333333333,0.5,0.333333333,0,0.142857143,0.333333333,0.1,0,0.1,,,,,
